NR_CONVENIO;NR_PARCELA_CRONO_DESEMBOLSO;MES_CRONO_DESEMBOLSO;ANO_CRONO_DESEMBOLSO;TIPO_RESP_CRONO_DESEMBOLSO;VALOR_PARCELA_CRONO_DESEMBOLSO
809916;1;7;2016;Concedente;1000000
809916;2;10;2016;Concedente;1000000
809916;3;7;2016;Convenente;15000
809916;4;10;2016;Convenente;15000
809916;5;10;2022;Convenente;160902,22
757263;1;10;2013;Concedente;487500
757263;2;11;2013;Convenente;34341,02
774023;1;7;2014;Concedente;3757500
774023;2;7;2014;Convenente;3102029,53
765480;1;5;2012;Concedente;1650000
765480;2;5;2012;Convenente;50000
812833;1;12;2014;Concedente;2993996,25
812833;2;12;2025;Convenente;105747,14
817756;1;3;2016;Concedente;8000000
817756;2;2;2024;Rendimento de Aplicação;1450000
817756;3;3;2016;Convenente;3034173,44
754554;1;2;2011;Concedente;4875000
754554;2;2;2011;Convenente;116707,11
754554;3;12;2017;Convenente;98292,89
769536;1;6;2014;Concedente;525000
769536;2;10;2014;Concedente;42000
769536;3;9;2016;Concedente;700000
769536;4;8;2014;Convenente;184211
769536;5;11;2016;Concedente;1000000
769536;6;2;2016;Concedente;283500
769536;7;12;2016;Concedente;949500
768282;1;8;2015;Concedente;50000
768282;2;10;2023;Concedente;2154769,06
768282;3;8;2015;Convenente;5000
768282;4;10;2023;Convenente;239974,34
778405;1;2;2013;Concedente;2925000
778405;2;1;2013;Convenente;139440,07
817267;1;8;2017;Concedente;274446,72
817267;2;2;2022;Convenente;56800,09
817267;3;9;2017;Concedente;164668,03
817267;4;10;2017;Concedente;109778,69
782192;1;12;2012;Concedente;1189861,19
782192;2;7;2013;Concedente;594930,6
782192;3;12;2013;Concedente;594930,59
782192;4;7;2013;Convenente;30000
782192;5;12;2013;Convenente;30000
782192;6;6;2020;Convenente;81333,17
766323;1;3;2013;Concedente;119324,5
766238;1;6;2012;Concedente;1000000
766238;2;6;2012;Convenente;150000
766238;3;4;2016;Convenente;30963,25
826210;1;6;2025;Concedente;853000
826210;2;7;2025;Concedente;511800
826210;3;8;2025;Concedente;341200
826210;4;8;2025;Convenente;251552,87
765177;1;6;2013;Concedente;243750
765177;2;7;2016;Concedente;146250
765177;3;9;2016;Concedente;97500
765177;4;3;2014;Convenente;3920,71
765177;5;8;2014;Convenente;49930,13
765177;6;8;2016;Convenente;349,16
775094;1;6;2013;Concedente;793300
775094;2;2;2024;Convenente;78541,96
766309;1;7;2013;Concedente;10000000
766309;2;5;2015;Convenente;2500000
766309;3;11;2017;Rendimento de Aplicação;2915896,7
766309;4;8;2022;Convenente;1662888,48
766309;5;5;2025;Rendimento de Aplicação;3200000
766309;6;4;2025;Rendimento de Aplicação;4600000
766231;1;2;2014;Convenente;1891787,68
766231;2;3;2020;Convenente;1084288,52
766231;3;9;2015;Concedente;6946471,2
766231;4;10;2019;Concedente;199912,76
766231;5;11;2019;Concedente;857097,38
766231;6;12;2019;Concedente;1294117,27
766231;7;2;2020;Convenente;1025697,13
766231;8;11;2019;Convenente;1229523,91
766231;9;4;2025;Convenente;3944898,77
766231;10;10;2019;Convenente;293798,63
766231;11;1;2020;Concedente;1046505,32
766231;12;2;2020;Concedente;716443,01
766231;13;3;2020;Concedente;757513,83
766231;14;1;2020;Convenente;1496562,48
766231;15;5;2021;Convenente;1598927,11
766231;16;12;2019;Convenente;1849804,59
766231;17;2;2025;Concedente;2535422,27
766231;18;3;2025;Concedente;2235260,1
766231;19;2;2025;Convenente;6542335,76
766231;20;3;2025;Convenente;5767805,33
766231;21;4;2025;Concedente;1743011,26
766231;22;5;2023;Convenente;1941573,57
766229;1;12;2011;Concedente;62700000
766229;2;12;2011;Convenente;45267469,26
778011;1;5;2014;Concedente;12210000
778011;2;5;2014;Convenente;4998194,97
756002;1;10;2011;Concedente;1950000
756002;2;10;2011;Convenente;265331,16
767660;1;12;2011;Concedente;7433200
767660;2;12;2011;Convenente;850000
768782;1;1;2014;Concedente;34650000
768782;2;1;2014;Convenente;3850000
773999;1;7;2014;Concedente;16320000
773999;2;7;2014;Convenente;3931349,47
774020;1;11;2014;Concedente;5636250
774020;2;11;2014;Convenente;3725364,96
823382;1;10;2016;Concedente;3390269
823382;2;10;2016;Convenente;4503919,75
779800;1;5;2013;Concedente;162500
779800;2;3;2013;Concedente;162500
779800;3;4;2013;Concedente;162500
779800;4;5;2013;Convenente;4875
779800;5;3;2013;Convenente;4875
779800;6;4;2013;Convenente;4875
779459;1;5;2020;Concedente;1365000
779459;2;5;2020;Convenente;27857,14
781035;1;12;2012;Concedente;404606
781035;2;3;2013;Convenente;44956
763009;1;12;2011;Concedente;975000
763009;2;12;2011;Convenente;295270,58
780637;1;11;2013;Concedente;1170000
780637;2;11;2013;Convenente;23877,55
826634;1;7;2016;Concedente;3662000
826634;2;7;2016;Convenente;38000
820241;1;12;2015;Concedente;837568,7
820241;2;12;2015;Convenente;28566,45
820999;1;1;2016;Concedente;1365000
820999;2;2;2024;Convenente;55949,7
767058;1;10;2025;Concedente;200000
767058;2;6;2024;Rendimento de Aplicação;43928,7
781512;1;6;2013;Concedente;1000000
781512;2;6;2013;Convenente;25000
767570;1;1;2024;Concedente;2925000
767570;2;1;2024;Convenente;75000
767006;1;6;2012;Concedente;7312500
767006;2;6;2012;Convenente;3034343,41
771976;1;4;2013;Concedente;2000000
771976;2;4;2013;Convenente;500000
782144;1;9;2013;Convenente;150522,28
782144;2;9;2013;Concedente;552105,57
769545;1;5;2019;Concedente;1400000
769545;2;6;2019;Concedente;1400000
769545;3;7;2019;Concedente;1400000
769545;4;8;2019;Concedente;1400000
769545;5;4;2019;Concedente;1400000
769545;6;8;2019;Convenente;368421,05
780523;1;6;2014;Concedente;147865,59
780523;2;6;2014;Convenente;12857,88
780523;3;7;2014;Concedente;495462,08
780523;4;7;2014;Convenente;43083,65
780523;5;8;2014;Concedente;576350,02
780523;6;8;2014;Convenente;50117,39
780523;7;9;2014;Concedente;637638,26
780523;8;9;2014;Convenente;55446,81
780523;9;10;2014;Concedente;431287,41
780523;10;10;2014;Convenente;37503,25
780523;11;11;2014;Concedente;66593,44
780523;12;11;2014;Convenente;5790,74
780523;13;12;2014;Concedente;602095,6
780523;14;12;2014;Convenente;52356,14
757121;1;6;2023;Concedente;1462500
757121;2;6;2023;Convenente;37500
786809;1;12;2013;Concedente;2576000
786809;2;12;2013;Convenente;734418,65
832349;1;11;2018;Concedente;975000
832349;2;11;2018;Convenente;151871,28
832349;3;11;2024;Convenente;40353,71
833369;1;4;2020;Concedente;121875
833369;2;6;2024;Concedente;121875
833369;3;4;2022;Convenente;847
833369;4;8;2022;Convenente;1154,4
833369;5;11;2022;Convenente;668
833369;6;3;2024;Convenente;12255,03
833369;7;4;2024;Convenente;23680
833369;8;5;2024;Convenente;7549,5
833369;9;7;2024;Convenente;72573,21
772590;1;12;2012;Concedente;3750000
772590;2;12;2012;Convenente;615186,51
771965;1;7;2022;Concedente;682500
771965;2;7;2022;Convenente;984433,68
766242;1;9;2013;Convenente;2627431,82
766242;2;4;2018;Concedente;816000
766242;3;6;2013;Concedente;8800000
766242;4;7;2014;Concedente;5567154,85
766242;5;10;2014;Concedente;1386296,29
766242;6;11;2014;Concedente;3613703,71
766242;7;12;2015;Concedente;204000
766242;8;1;2016;Concedente;404845,15
766242;9;2;2016;Concedente;152000
766242;10;6;2016;Concedente;1752000
766242;11;9;2017;Concedente;324000
766242;12;10;2013;Convenente;689000
766242;13;10;2014;Convenente;1402727,32
766242;14;9;2017;Convenente;483096,21
766242;15;9;2024;Convenente;1548839,25
766242;16;9;2019;Concedente;816000
766242;17;11;2019;Concedente;944000
766242;18;8;2024;Concedente;15220000
783736;1;1;2014;Concedente;3000000
783736;2;1;2014;Convenente;61224,49
783736;3;10;2025;Convenente;181001,31
786538;1;6;2014;Concedente;497250
786538;2;7;2014;Concedente;1243125
786538;3;8;2014;Concedente;709851,8
786538;4;9;2014;Concedente;331500
786538;5;10;2014;Concedente;828750
786538;6;11;2014;Concedente;533273,2
786538;7;6;2014;Convenente;10320
786538;8;7;2014;Convenente;25800
786538;9;8;2014;Convenente;36290,67
786538;10;9;2014;Convenente;15480
786538;11;10;2014;Convenente;17200
786538;12;11;2014;Convenente;15593,68
778012;1;5;2014;Concedente;12210000
778012;2;5;2014;Convenente;4943575,47
835976;1;3;2021;Concedente;2999535
835976;2;1;2024;Convenente;2033740,75
778612;1;1;2013;Concedente;850000
778612;2;7;2022;Convenente;43180,42
774024;1;11;2014;Concedente;3757500
774024;2;11;2014;Convenente;1986573,01
774024;3;10;2021;Rendimento de Aplicação;141006,51
778639;1;1;2013;Concedente;975000
778639;2;2;2013;Concedente;585000
778639;3;3;2013;Concedente;390000
778639;4;10;2016;Convenente;65240,77
778639;5;11;2016;Convenente;39144,46
778639;6;12;2016;Convenente;26096,32
770329;1;9;2018;Concedente;1950000
770329;2;9;2018;Convenente;268248,98
839287;1;1;2017;Concedente;304066
839302;1;12;2021;Concedente;277821,77
839302;2;11;2021;Concedente;1056087,23
839302;3;1;2021;Convenente;209204,19
830189;1;9;2016;Concedente;2965600
830189;2;10;2016;Convenente;59312
779594;1;1;2025;Concedente;987600
779594;2;1;2025;Convenente;109733,33
779594;3;3;2025;Convenente;893678,81
778640;1;1;2013;Concedente;390000
778640;2;2;2013;Concedente;234000
778640;3;3;2013;Concedente;156000
778640;4;1;2013;Convenente;20526,32
778640;5;2;2013;Convenente;12315,79
778640;6;3;2013;Convenente;8210,52
782138;1;10;2013;Convenente;600305,65
782138;2;10;2013;Concedente;1102002,51
786303;1;1;2022;Concedente;1950000
786303;2;12;2022;Convenente;256144,76
785188;1;12;2015;Concedente;243750
785188;2;1;2016;Concedente;146250
785188;3;2;2016;Concedente;97500
785188;4;12;2015;Convenente;62360,96
785188;5;2;2016;Convenente;37416,58
785188;6;3;2016;Convenente;24944,39
785188;7;5;2025;Convenente;75600,11
842735;1;7;2018;Concedente;534437,86
859593;1;8;2018;Concedente;624000
859593;2;3;2018;Concedente;156000
859593;3;3;2018;Convenente;7048,83
859593;4;8;2018;Convenente;28195,32
766248;1;3;2012;Concedente;23753603,42
766248;2;3;2012;Convenente;5078469,79
778615;1;12;2012;Concedente;850000
778615;2;12;2012;Convenente;693650,7
832384;1;1;2017;Concedente;190000
832384;2;5;2017;Concedente;135027,16
